time_period,time_identifier,geographic_level,country_code,country_name,data_version,subject_name,characteristic_value,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved,entry_count
199900,Academic year,National,E92000001,England,Final,Accounting and finance,Female,z,9,24,41,58,72,736
200001,Academic year,National,E92000001,England,Final,Accounting and finance,Female,z,10,25,41,59,74,782
200102,Academic year,National,E92000001,England,Final,Accounting and finance,Female,z,14,28,45,65,85,781
200203,Academic year,National,E92000001,England,Final,Accounting and finance,Female,z,14,30,48,71,89,929
200304,Academic year,National,E92000001,England,Final,Accounting and finance,Female,z,15,33,54,72,90,1000
200405,Academic year,National,E92000001,England,Final,Accounting and finance,Female,z,14,35,56,80,93,1056
200506,Academic year,National,E92000001,England,Final,Accounting and finance,Female,z,14,31,55,78,94,1134
200607,Academic year,National,E92000001,England,Final,Accounting and finance,Female,z,14,36,58,79,94,1207
200708,Academic year,National,E92000001,England,Final,Accounting and finance,Female,z,15,36,60,82,95,1298
200809,Academic year,National,E92000001,England,Final,Accounting and finance,Female,z,14,37,59,82,95,1424
200910,Academic year,National,E92000001,England,Final,Accounting and finance,Female,2,15,36,62,83,96,1443
201011,Academic year,National,E92000001,England,Final,Accounting and finance,Female,2,16,39,64,83,97,1212
201112,Academic year,National,E92000001,England,Final,Accounting and finance,Female,3,15,36,61,82,96,1210
201213,Academic year,National,E92000001,England,Final,Accounting and finance,Female,2,17,41,65,85,96,1073
201314,Academic year,National,E92000001,England,Final,Accounting and finance,Female,2,14,39,64,83,96,912
201415,Academic year,National,E92000001,England,Final,Accounting and finance,Female,2,14,33,60,82,96,829
201516,Academic year,National,E92000001,England,Final,Accounting and finance,Female,3,19,42,67,85,96,764
201617,Academic year,National,E92000001,England,Final,Accounting and finance,Female,3,19,42,65,86,97,754
201718,Academic year,National,E92000001,England,Revised,Accounting and finance,Female,2.7,16.9,39.1,60.9,82.6,96.5,706
201819,Academic year,National,E92000001,England,Revised,Accounting and finance,Female,1.5,14.8,35.4,61.5,80.3,93.8,650
201920,Academic year,National,E92000001,England,Final,Accounting and finance,Female,7,24.4,52.5,78.2,91.6,98.6,628
202021,Academic year,National,E92000001,England,Final,Accounting and finance,Female,11.6,32.3,57.4,80,92.4,99,709
202122,Academic year,National,E92000001,England,Revised,Accounting and finance,Female,7.5,25.5,47,70.5,85.2,96.6,643
202223,Academic year,National,E92000001,England,Revised,Accounting and finance,Female,2,16,37.7,57.7,79.4,93.7,586
199596,Academic year,National,E92000001,England,Final,Accounting and finance,Male,z,10,25,37,51,62,1256
199697,Academic year,National,E92000001,England,Final,Accounting and finance,Male,z,9,23,35,48,63,1184
199798,Academic year,National,E92000001,England,Final,Accounting and finance,Male,z,8,22,38,52,66,1149
199899,Academic year,National,E92000001,England,Final,Accounting and finance,Male,z,8,24,39,54,67,1203
199900,Academic year,National,E92000001,England,Final,Accounting and finance,Male,z,10,24,40,57,69,1208
200001,Academic year,National,E92000001,England,Final,Accounting and finance,Male,z,10,29,44,60,73,1174
200102,Academic year,National,E92000001,England,Final,Accounting and finance,Male,z,11,27,44,66,84,1357
200203,Academic year,National,E92000001,England,Final,Accounting and finance,Male,z,10,26,46,67,89,1442
200304,Academic year,National,E92000001,England,Final,Accounting and finance,Male,z,11,25,46,70,90,1660
200405,Academic year,National,E92000001,England,Final,Accounting and finance,Male,z,10,30,53,74,92,1766
200506,Academic year,National,E92000001,England,Final,Accounting and finance,Male,z,10,29,53,76,93,1924
200607,Academic year,National,E92000001,England,Final,Accounting and finance,Male,z,10,30,54,76,92,2063
200708,Academic year,National,E92000001,England,Final,Accounting and finance,Male,z,14,33,57,79,95,2234
200809,Academic year,National,E92000001,England,Final,Accounting and finance,Male,z,13,36,61,83,95,2234
200910,Academic year,National,E92000001,England,Final,Accounting and finance,Male,2,15,37,64,85,97,2365
201011,Academic year,National,E92000001,England,Final,Accounting and finance,Male,1,13,34,60,84,96,2283
201112,Academic year,National,E92000001,England,Final,Accounting and finance,Male,2,13,37,64,85,96,2095
201213,Academic year,National,E92000001,England,Final,Accounting and finance,Male,2,13,36,63,84,96,2045
201314,Academic year,National,E92000001,England,Final,Accounting and finance,Male,2,12,34,60,80,95,1836
201415,Academic year,National,E92000001,England,Final,Accounting and finance,Male,1,12,36,62,82,96,1700
201516,Academic year,National,E92000001,England,Final,Accounting and finance,Male,1,12,36,62,83,96,1578
201617,Academic year,National,E92000001,England,Final,Accounting and finance,Male,3,15,41,67,86,97,1529
201718,Academic year,National,E92000001,England,Revised,Accounting and finance,Male,2.1,13.8,38.1,62.2,83.9,95.2,1512
201819,Academic year,National,E92000001,England,Revised,Accounting and finance,Male,0.9,11.5,29.9,56.7,80.8,93.7,1502
201920,Academic year,National,E92000001,England,Final,Accounting and finance,Male,4.6,21.3,45.3,72.7,91.4,99.2,1478
202021,Academic year,National,E92000001,England,Final,Accounting and finance,Male,8.4,27.1,51,74.5,90,98.3,1477
202122,Academic year,National,E92000001,England,Revised,Accounting and finance,Male,5.7,19.8,42.7,67.4,86.4,95.5,1577
202223,Academic year,National,E92000001,England,Revised,Accounting and finance,Male,1.5,13.6,34.6,60.7,80.1,94.6,1564
199596,Academic year,National,E92000001,England,Final,Art & design,All students,z,19,38,62,80,92,29796
199697,Academic year,National,E92000001,England,Final,Art & design,All students,z,20,40,63,82,92,31742
199798,Academic year,National,E92000001,England,Final,Art & design,All students,z,22,42,65,83,93,33815
199899,Academic year,National,E92000001,England,Final,Art & design,All students,z,23,43,66,84,93,34640
199900,Academic year,National,E92000001,England,Final,Art & design,All students,z,23,43,67,84,93,34150
200001,Academic year,National,E92000001,England,Final,Art & design,All students,z,26,46,71,87,95,35337
200102,Academic year,National,E92000001,England,Final,Art & design,All students,z,27,50,72,88,96,31687
200203,Academic year,National,E92000001,England,Final,Art & design,All students,z,27,50,73,89,97,33992
200304,Academic year,National,E92000001,England,Final,Art & design,All students,z,27,51,73,89,97,34565
200405,Academic year,National,E92000001,England,Final,Art & design,All students,z,28,52,75,91,98,35594
200506,Academic year,National,E92000001,England,Final,Art & design,All students,z,29,54,77,92,98,37336
200607,Academic year,National,E92000001,England,Final,Art & design,All students,z,30,54,77,92,98,37951
200708,Academic year,National,E92000001,England,Final,Art & design,All students,z,30,55,78,93,98,39623
200809,Academic year,National,E92000001,England,Final,Art & design,All students,z,31,57,80,93,98,41112
200910,Academic year,National,E92000001,England,Final,Art & design,All students,13,31,57,80,93,98,42784
201011,Academic year,National,E92000001,England,Final,Art & design,All students,14,31,57,81,94,99,42633
201112,Academic year,National,E92000001,England,Final,Art & design,All students,13,30,58,82,95,99,43236
201213,Academic year,National,E92000001,England,Final,Art & design,All students,12,28,57,83,96,99,41388
201314,Academic year,National,E92000001,England,Final,Art & design,All students,12,28,57,83,96,99,40763
201415,Academic year,National,E92000001,England,Final,Art & design,All students,12,28,58,83,96,99,40747
201516,Academic year,National,E92000001,England,Final,Art & design,All students,12,28,57,84,96,99,39504
201617,Academic year,National,E92000001,England,Final,Art & design,All students,13,28,59,83,95,99,40085
201718,Academic year,National,E92000001,England,Revised,Art & design,All students,12.6,28.3,59.2,83.2,94.6,98.7,39456
201819,Academic year,National,E92000001,England,Revised,Art & design,All students,12.3,27.9,60.5,84.7,95.4,98.8,39003
201920,Academic year,National,E92000001,England,Final,Art & design,All students,17.5,41.4,73.6,93.1,98.5,99.7,38610
202021,Academic year,National,E92000001,England,Final,Art & design,All students,21.5,46.5,75.3,92.9,97.8,99.4,39065
202122,Academic year,National,E92000001,England,Revised,Art & design,All students,18.9,38.8,70.3,90.2,97.1,99.2,41788
202223,Academic year,National,E92000001,England,Revised,Art & design,All students,13,31,62.4,84.9,95.1,98.7,40496
199596,Academic year,National,E92000001,England,Final,Art & design,Female,z,20,41,64,82,93,18052
199697,Academic year,National,E92000001,England,Final,Art & design,Female,z,21,42,66,85,94,19224
199798,Academic year,National,E92000001,England,Final,Art & design,Female,z,24,44,68,86,94,20877
199899,Academic year,National,E92000001,England,Final,Art & design,Female,z,25,46,70,87,95,21458
199900,Academic year,National,E92000001,England,Final,Art & design,Female,z,25,46,70,87,95,21634
200001,Academic year,National,E92000001,England,Final,Art & design,Female,z,27,49,74,90,96,22933
200102,Academic year,National,E92000001,England,Final,Art & design,Female,z,29,54,75,90,97,21691
200203,Academic year,National,E92000001,England,Final,Art & design,Female,z,30,54,77,91,98,23524
200304,Academic year,National,E92000001,England,Final,Art & design,Female,z,29,54,76,91,98,23625
200405,Academic year,National,E92000001,England,Final,Art & design,Female,z,30,55,78,92,98,24670
200506,Academic year,National,E92000001,England,Final,Art & design,Female,z,31,57,80,93,98,25778
200607,Academic year,National,E92000001,England,Final,Art & design,Female,z,32,57,79,93,98,26537
200708,Academic year,National,E92000001,England,Final,Art & design,Female,z,32,58,80,94,99,27853
200809,Academic year,National,E92000001,England,Final,Art & design,Female,z,33,59,82,94,99,29097
200910,Academic year,National,E92000001,England,Final,Art & design,Female,13,33,59,82,94,99,30929
201011,Academic year,National,E92000001,England,Final,Art & design,Female,15,32,60,83,95,99,31191
201112,Academic year,National,E92000001,England,Final,Art & design,Female,14,31,60,84,96,99,31914
201213,Academic year,National,E92000001,England,Final,Art & design,Female,12,30,60,85,96,99,30945
201314,Academic year,National,E92000001,England,Final,Art & design,Female,12,29,60,85,96,99,30809
201415,Academic year,National,E92000001,England,Final,Art & design,Female,13,30,60,86,97,100,31118
201516,Academic year,National,E92000001,England,Final,Art & design,Female,13,30,60,86,97,99,30120
201617,Academic year,National,E92000001,England,Final,Art & design,Female,13,29,60,84,95,99,30326
201718,Academic year,National,E92000001,England,Revised,Art & design,Female,13.3,30,61.8,85.3,95.6,99,29656
201819,Academic year,National,E92000001,England,Revised,Art & design,Female,13.2,30,63.4,86.6,96.1,99.1,28951
201920,Academic year,National,E92000001,England,Final,Art & design,Female,18.8,44.2,76.5,94.6,98.8,99.8,28864
202021,Academic year,National,E92000001,England,Final,Art & design,Female,23,49.5,78.5,94.4,98.4,99.6,29049
202122,Academic year,National,E92000001,England,Revised,Art & design,Female,20.4,41.7,73.5,91.8,97.7,99.3,30951
202223,Academic year,National,E92000001,England,Revised,Art & design,Female,14.1,33.6,66.2,87.6,96.3,99,30312
199596,Academic year,National,E92000001,England,Final,Art & design,Male,z,17,35,57,76,89,11744
199697,Academic year,National,E92000001,England,Final,Art & design,Male,z,18,36,58,78,90,12518
199798,Academic year,National,E92000001,England,Final,Art & design,Male,z,19,37,60,79,91,12938
199899,Academic year,National,E92000001,England,Final,Art & design,Male,z,19,38,60,80,91,13182
199900,Academic year,National,E92000001,England,Final,Art & design,Male,z,20,39,62,80,91,12516
200001,Academic year,National,E92000001,England,Final,Art & design,Male,z,23,41,65,83,93,12404
200102,Academic year,National,E92000001,England,Final,Art & design,Male,z,22,42,64,83,94,9996
200203,Academic year,National,E92000001,England,Final,Art & design,Male,z,21,42,65,85,95,10468
200304,Academic year,National,E92000001,England,Final,Art & design,Male,z,22,44,67,85,95,10940
200405,Academic year,National,E92000001,England,Final,Art & design,Male,z,23,45,69,88,97,10924
200506,Academic year,National,E92000001,England,Final,Art & design,Male,z,25,47,71,88,97,11558
200607,Academic year,National,E92000001,England,Final,Art & design,Male,z,26,48,72,89,97,11414
200708,Academic year,National,E92000001,England,Final,Art & design,Male,z,26,49,72,90,98,11770
200809,Academic year,National,E92000001,England,Final,Art & design,Male,z,27,51,75,90,98,12015
200910,Academic year,National,E92000001,England,Final,Art & design,Male,12,26,50,74,90,98,11855
201011,Academic year,National,E92000001,England,Final,Art & design,Male,12,26,51,75,91,98,11442
201112,Academic year,National,E92000001,England,Final,Art & design,Male,12,26,50,76,92,98,11322
201213,Academic year,National,E92000001,England,Final,Art & design,Male,11,24,49,76,93,99,10443
201314,Academic year,National,E92000001,England,Final,Art & design,Male,11,23,49,77,93,99,9954
201415,Academic year,National,E92000001,England,Final,Art & design,Male,11,23,49,76,93,99,9629
201516,Academic year,National,E92000001,England,Final,Art & design,Male,11,22,49,78,94,99,9384
201617,Academic year,National,E92000001,England,Final,Art & design,Male,12,25,53,78,92,98,9759
201718,Academic year,National,E92000001,England,Revised,Art & design,Male,10.4,23.3,51.3,76.9,91.5,97.5,9800
201819,Academic year,National,E92000001,England,Revised,Art & design,Male,9.8,21.9,51.9,79.3,93.2,98.2,10052
201920,Academic year,National,E92000001,England,Final,Art & design,Male,13.6,32.9,64.9,88.6,97.4,99.6,9746
202021,Academic year,National,E92000001,England,Final,Art & design,Male,17,37.7,65.9,88.5,96.2,99.1,10016
202122,Academic year,National,E92000001,England,Revised,Art & design,Male,14.6,30.3,61.1,85.4,95.3,98.8,10837
202223,Academic year,National,E92000001,England,Revised,Art & design,Male,9.7,23.2,51.2,77,91.5,97.7,10184
199596,Academic year,National,E92000001,England,Final,Biology,All students,z,14,33,52,70,85,43398
199697,Academic year,National,E92000001,England,Final,Biology,All students,z,15,34,54,72,86,47598
199798,Academic year,National,E92000001,England,Final,Biology,All students,z,16,36,55,73,87,48897
199899,Academic year,National,E92000001,England,Final,Biology,All students,z,17,37,56,74,88,47192
199900,Academic year,National,E92000001,England,Final,Biology,All students,z,18,38,57,75,89,46190
200001,Academic year,National,E92000001,England,Final,Biology,All students,z,19,39,59,76,89,44592
200102,Academic year,National,E92000001,England,Final,Biology,All students,z,21,41,61,79,92,45407
200203,Academic year,National,E92000001,England,Final,Biology,All students,z,22,42,63,80,94,43902
200304,Academic year,National,E92000001,England,Final,Biology,All students,z,22,44,65,82,95,44235
200405,Academic year,National,E92000001,England,Final,Biology,All students,z,23,45,65,83,95,45662
200506,Academic year,National,E92000001,England,Final,Biology,All students,z,25,46,67,84,96,46624
200607,Academic year,National,E92000001,England,Final,Biology,All students,z,26,48,68,85,96,46797
200708,Academic year,National,E92000001,England,Final,Biology,All students,z,27,49,70,86,97,48397
200809,Academic year,National,E92000001,England,Final,Biology,All students,z,28,51,71,87,97,47978
200910,Academic year,National,E92000001,England,Final,Biology,All students,8,28,51,72,88,98,52728
201011,Academic year,National,E92000001,England,Final,Biology,All students,9,28,52,74,89,98,54738
201112,Academic year,National,E92000001,England,Final,Biology,All students,8,29,53,74,89,98,55817
201213,Academic year,National,E92000001,England,Final,Biology,All students,8,29,53,74,90,98,57234
201314,Academic year,National,E92000001,England,Final,Biology,All students,10,28,52,73,89,98,55847
201415,Academic year,National,E92000001,England,Final,Biology,All students,10,28,52,73,89,98,55150
201516,Academic year,National,E92000001,England,Final,Biology,All students,10,28,52,74,90,99,54305
201617,Academic year,National,E92000001,England,Final,Biology,All students,8,27,49,71,88,97,54794
201718,Academic year,National,E92000001,England,Revised,Biology,All students,7.8,26.1,47.4,69.6,87.2,96.7,57043
201819,Academic year,National,E92000001,England,Revised,Biology,All students,6.9,24.3,44.7,66.9,85.7,96,62558
201920,Academic year,National,E92000001,England,Final,Biology,All students,13.3,37.7,62.4,84,95.3,99.4,58720
202021,Academic year,National,E92000001,England,Final,Biology,All students,18,44.2,68.1,86.1,95.6,99.5,61866
202122,Academic year,National,E92000001,England,Revised,Biology,All students,13.2,34.4,55.8,75.4,89.7,97.6,64315
202223,Academic year,National,E92000001,England,Revised,Biology,All students,8.8,26.6,48.1,67.9,84.7,95.5,66817
199596,Academic year,National,E92000001,England,Final,Biology,Female,z,15,34,54,71,86,25643
199697,Academic year,National,E92000001,England,Final,Biology,Female,z,16,36,55,73,87,28138
199798,Academic year,National,E92000001,England,Final,Biology,Female,z,17,37,57,75,88,29073
199899,Academic year,National,E92000001,England,Final,Biology,Female,z,18,38,58,76,89,28653
199900,Academic year,National,E92000001,England,Final,Biology,Female,z,19,40,60,77,90,28438
200001,Academic year,National,E92000001,England,Final,Biology,Female,z,20,41,61,78,90,27567
200102,Academic year,National,E92000001,England,Final,Biology,Female,z,23,43,63,80,93,27978
200203,Academic year,National,E92000001,England,Final,Biology,Female,z,23,45,65,82,95,26882
200304,Academic year,National,E92000001,England,Final,Biology,Female,z,24,46,67,84,95,26615
200405,Academic year,National,E92000001,England,Final,Biology,Female,z,24,46,67,84,96,26981
200506,Academic year,National,E92000001,England,Final,Biology,Female,z,26,48,68,85,96,27324
200607,Academic year,National,E92000001,England,Final,Biology,Female,z,27,50,70,86,97,27468
200708,Academic year,National,E92000001,England,Final,Biology,Female,z,28,50,71,87,97,28093
200809,Academic year,National,E92000001,England,Final,Biology,Female,z,29,52,72,88,97,27468
200910,Academic year,National,E92000001,England,Final,Biology,Female,8,29,53,74,89,98,29628
201011,Academic year,National,E92000001,England,Final,Biology,Female,10,30,54,75,90,98,30953
201112,Academic year,National,E92000001,England,Final,Biology,Female,9,30,55,76,90,98,31515
201213,Academic year,National,E92000001,England,Final,Biology,Female,9,30,56,76,91,99,33151
201314,Academic year,National,E92000001,England,Final,Biology,Female,10,29,53,74,89,99,33039
201415,Academic year,National,E92000001,England,Final,Biology,Female,10,29,52,74,90,99,33432
201516,Academic year,National,E92000001,England,Final,Biology,Female,10,28,53,74,90,98,33207
201617,Academic year,National,E92000001,England,Final,Biology,Female,8,27,49,71,88,97,33860
201718,Academic year,National,E92000001,England,Revised,Biology,Female,7.7,26.1,47.6,69.7,87.3,96.8,36131
201819,Academic year,National,E92000001,England,Revised,Biology,Female,7.3,25.3,45.9,68.1,86.5,96.3,39338
201920,Academic year,National,E92000001,England,Final,Biology,Female,13.6,38.8,63.9,85.1,95.7,99.5,37572
202021,Academic year,National,E92000001,England,Final,Biology,Female,18.7,46,70.1,87.6,96.2,99.5,39387
202122,Academic year,National,E92000001,England,Revised,Biology,Female,13.4,34.9,56.5,76.2,90.1,97.6,40933
202223,Academic year,National,E92000001,England,Revised,Biology,Female,9,26.9,48.8,68.7,85.3,95.6,42439
199596,Academic year,National,E92000001,England,Final,Biology,Male,z,13,31,49,68,84,17755
199697,Academic year,National,E92000001,England,Final,Biology,Male,z,14,32,51,70,85,19460
199798,Academic year,National,E92000001,England,Final,Biology,Male,z,15,33,52,70,86,19824
199899,Academic year,National,E92000001,England,Final,Biology,Male,z,16,34,54,72,87,18539
199900,Academic year,National,E92000001,England,Final,Biology,Male,z,16,34,54,72,88,17752
200001,Academic year,National,E92000001,England,Final,Biology,Male,z,17,35,55,73,88,17025
200102,Academic year,National,E92000001,England,Final,Biology,Male,z,19,38,57,76,91,17429
200203,Academic year,National,E92000001,England,Final,Biology,Male,z,19,39,59,77,92,17020
200304,Academic year,National,E92000001,England,Final,Biology,Male,z,20,41,61,80,94,17620
200405,Academic year,National,E92000001,England,Final,Biology,Male,z,22,43,63,81,94,18681
200506,Academic year,National,E92000001,England,Final,Biology,Male,z,23,44,65,82,95,19300
200607,Academic year,National,E92000001,England,Final,Biology,Male,z,25,45,65,83,95,19329
200708,Academic year,National,E92000001,England,Final,Biology,Male,z,26,47,68,84,96,20304
200809,Academic year,National,E92000001,England,Final,Biology,Male,z,26,48,68,85,97,20510
200910,Academic year,National,E92000001,England,Final,Biology,Male,7,26,49,70,87,97,23100
201011,Academic year,National,E92000001,England,Final,Biology,Male,8,27,50,72,88,98,23785
201112,Academic year,National,E92000001,England,Final,Biology,Male,8,28,51,73,89,98,24302
201213,Academic year,National,E92000001,England,Final,Biology,Male,8,27,50,72,88,98,24083
201314,Academic year,National,E92000001,England,Final,Biology,Male,10,28,50,72,88,98,22808
201415,Academic year,National,E92000001,England,Final,Biology,Male,9,27,50,71,88,98,21718
201516,Academic year,National,E92000001,England,Final,Biology,Male,10,28,51,73,89,98,21098
201617,Academic year,National,E92000001,England,Final,Biology,Male,8,26,48,70,88,97,20934
201718,Academic year,National,E92000001,England,Revised,Biology,Male,7.9,26.1,46.9,69.4,87,96.5,20911
201819,Academic year,National,E92000001,England,Revised,Biology,Male,6.3,22.6,42.6,64.9,84.3,95.5,23220
201920,Academic year,National,E92000001,England,Final,Biology,Male,12.8,35.8,59.8,82,94.6,99.3,21148
202021,Academic year,National,E92000001,England,Final,Biology,Male,16.9,41.2,64.6,83.5,94.5,99.4,22479
202122,Academic year,National,E92000001,England,Revised,Biology,Male,12.8,33.6,54.4,74,89.2,97.4,23380
202223,Academic year,National,E92000001,England,Revised,Biology,Male,8.6,26.1,46.7,66.6,83.6,95.4,24378
199596,Academic year,National,E92000001,England,Final,Business studies,All students,z,8,23,45,66,82,24721
199697,Academic year,National,E92000001,England,Final,Business studies,All students,z,8,27,51,72,86,27313
199798,Academic year,National,E92000001,England,Final,Business studies,All students,z,8,28,53,74,87,29646
199899,Academic year,National,E92000001,England,Final,Business studies,All students,z,9,29,54,75,88,30623
199900,Academic year,National,E92000001,England,Final,Business studies,All students,z,10,30,56,77,90,31076
200001,Academic year,National,E92000001,England,Final,Business studies,All students,z,11,32,58,79,91,30840
200102,Academic year,National,E92000001,England,Final,Business studies,All students,z,11,33,60,83,96,32093
200203,Academic year,National,E92000001,England,Final,Business studies,All students,z,13,36,64,86,97,32444
200304,Academic year,National,E92000001,England,Final,Business studies,All students,z,15,39,67,88,98,31287
200405,Academic year,National,E92000001,England,Final,Business studies,All students,z,16,41,69,89,98,29948
200506,Academic year,National,E92000001,England,Final,Business studies,All students,z,17,42,70,90,98,29936
200607,Academic year,National,E92000001,England,Final,Business studies,All students,z,18,45,73,91,98,29248
200708,Academic year,National,E92000001,England,Final,Business studies,All students,z,18,46,74,92,99,29887
200809,Academic year,National,E92000001,England,Final,Business studies,All students,z,19,47,75,92,99,30561
200910,Academic year,National,E92000001,England,Final,Business studies,All students,4,17,44,73,92,99,30971
201011,Academic year,National,E92000001,England,Final,Business studies,All students,4,17,44,74,92,99,28776
201112,Academic year,National,E92000001,England,Final,Business studies,All students,4,16,44,74,92,99,27777
201213,Academic year,National,E92000001,England,Final,Business studies,All students,3,16,44,75,92,99,27038
201314,Academic year,National,E92000001,England,Final,Business studies,All students,4,16,43,73,91,99,25705
201415,Academic year,National,E92000001,England,Final,Business studies,All students,4,15,43,73,92,99,24261
201516,Academic year,National,E92000001,England,Final,Business studies,All students,3,14,42,73,92,99,25134
201617,Academic year,National,E92000001,England,Final,Business studies,All students,4,15,44,74,92,98,27050
201718,Academic year,National,E92000001,England,Revised,Business studies,All students,3.4,15.2,44.9,74.7,91.7,97.8,29619
201819,Academic year,National,E92000001,England,Revised,Business studies,All students,3.3,14.8,44.1,74.1,91.4,97.7,30198
201920,Academic year,National,E92000001,England,Final,Business studies,All students,6.7,25.4,57.3,86,97,99.7,32518
202021,Academic year,National,E92000001,England,Final,Business studies,All students,10.1,31.7,62.2,86.6,96.1,99.5,34618
202122,Academic year,National,E92000001,England,Revised,Business studies,All students,7.5,25,59.7,83.3,94.5,98.4,38484
202223,Academic year,National,E92000001,England,Revised,Business studies,All students,4,15.8,46.3,74.8,91.3,97.5,40590
199596,Academic year,National,E92000001,England,Final,Business studies,Female,z,8,23,45,66,82,11445
199697,Academic year,National,E92000001,England,Final,Business studies,Female,z,8,28,52,73,87,12461
199798,Academic year,National,E92000001,England,Final,Business studies,Female,z,9,30,54,74,87,13584
199899,Academic year,National,E92000001,England,Final,Business studies,Female,z,10,30,54,74,88,13909
199900,Academic year,National,E92000001,England,Final,Business studies,Female,z,11,31,57,78,90,14177
200001,Academic year,National,E92000001,England,Final,Business studies,Female,z,12,33,59,79,91,13800
200102,Academic year,National,E92000001,England,Final,Business studies,Female,z,13,36,63,84,96,13414
200203,Academic year,National,E92000001,England,Final,Business studies,Female,z,15,39,66,87,97,13165
200304,Academic year,National,E92000001,England,Final,Business studies,Female,z,16,41,68,89,98,12664
200405,Academic year,National,E92000001,England,Final,Business studies,Female,z,17,43,70,90,98,12036
200506,Academic year,National,E92000001,England,Final,Business studies,Female,z,19,45,72,90,98,12135
200607,Academic year,National,E92000001,England,Final,Business studies,Female,z,20,48,74,92,99,11794
200708,Academic year,National,E92000001,England,Final,Business studies,Female,z,20,48,75,92,99,12295
200809,Academic year,National,E92000001,England,Final,Business studies,Female,z,21,49,76,92,99,12353
200910,Academic year,National,E92000001,England,Final,Business studies,Female,4,19,46,74,92,99,12537
201011,Academic year,National,E92000001,England,Final,Business studies,Female,5,19,46,74,92,99,11603
201112,Academic year,National,E92000001,England,Final,Business studies,Female,4,18,46,75,92,99,11555
201213,Academic year,National,E92000001,England,Final,Business studies,Female,4,18,47,76,93,99,11082
201314,Academic year,National,E92000001,England,Final,Business studies,Female,5,17,45,74,92,98,10673
